Name,Title,Place publication,Publisher,Date of publication,33304C29
"Orwell, George",England your England,London,Penguin,2017,C9E7F23C
"Orwell, George",England your England,London,Penguin,2017,C9E7F23C
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,FD36BF88
"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018,EDAB058E
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021,02570761
"Orwell, George",The road to Wigan Pier,London,Arcturus,2021,C0395F2F
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,London,Macmillan,2021,21B64D4A
"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021,7C988A69
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,FD36BF88
"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020,90B4415A
"Orwell, George",Fascism and democracy,London,Penguin,2020,994A34A4
"Orwell, George",Fascism and democracy,London,Penguin,2020,994A34A4
"Orwell, George",Notes on nationalism,London,Penguin,2018,1DBB2F9F
"Orwell, George",Orwell on freedom,London,Harvill Secker,2018,5F67CF9C
"Orwell, George",Orwell on freedom,London,Vintage Digital,2018,554FEE2A
"Orwell, George",The lion and the unicorn,London,Penguin,2018,14C35761
"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018,E53E1270
"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012,65639792
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020,A95D9F85
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021,9FFB30AE
"Orwell, George",Down and out in Paris and London,London,Arcturus,2021,22A8A2A6
"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021,2F6A351B
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,London,Macmillan,2021,75995667
"Orwell, George",Politics and the English language,London,Renard Press,2021,0F55C3FD
"Orwell, George",Politics and the English language,London,Renard Press,2021,0F55C3FD
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021,AB950817
"Orwell, George",Nineteen eighty-four,London,Penguin,2020,DE7D013C
"Orwell, George",Animal farm,London,Penguin,2020,2D420AE8
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,27CAF490
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,27CAF490
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020,10DE42A0
"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021,C4AD170A
"Orwell, George",Nineteen eighty-four,London,Penguin,2021,206DBDAE
"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009,F5B31861
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015,EF188C6D
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016,486CD42C
"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018,CC1B742D
"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington",,2001,F69BAD70
"BiegajÅ‚o, BartÅ‚omiej",Totalitarian (in) experience in literary works and their translations : between east and west,Newcastle upon Tyne,Cambridge Scholars,2018,C487518E
"Icke, Robert",1984,London,Oberon,2013,5DDD092D
"Holman, Robert","Rafts and dreams : &, Outside whale",London,Bloomsbury,2014,BAFC8952
"Icke, Robert",1984,London,Oberon,2014,7E552554
"Icke, Robert",1984,London,Oberon,2014,7E552554
"Orwell, George",Politics vs. literature,London,Renard Press,2021,55821061
"Orwell, George",Politics vs. literature,London,Renard Press,2021,55821061
"Smith, David N.",George Orwell illustrated,Chicago,Haymarket,2018,75E97440
"Orwell, George",Nineteen eighty-four,London,Penguin,2013,A38BFA08
"Orwell, George",Down and out in Paris and London,London,Penguin,2013,47034F33
"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2013,8D4315EC
"Orwell, George","Such, such were the joys",London,Penguin,2014,8ED3A1BF
"Orwell, George",Burmese days,London,Penguin,2014,67C35E4C
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AD51EA13
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AD51EA13
